,seed,regression,xgboost,cnn
0,1,"[[np.float64(1.5472148597119806), np.float64(1.5506832270151107), np.float64(1.670346829306794), np.float64(1.499366318416709), np.float64(1.3288391661795085)], [np.float64(4.539836479863679), np.float64(5.728013477708974), np.float64(4.359099262994908), np.float64(3.2035700854119704), np.float64(3.68355054944218)], [np.float64(7.435956386422375), np.float64(8.093819015452716), np.float64(6.968357828816057), np.float64(8.684627673391336), np.float64(5.321333147737021)], [np.float64(58.09193616369504), np.float64(73.80421291805048), np.float64(45.74590829643896), np.float64(68.2910544984854), np.float64(28.27058648527258)], [np.float64(32.331412816798434), np.float64(40.22802117032366), np.float64(26.79024640070324), np.float64(36.0443359675475), np.float64(19.835548831183495)]]","[[np.float64(1.413466785313206), np.float64(1.3929696642172054), np.float64(1.5852200956312903), np.float64(1.2855377299621895), np.float64(1.2157273355642229)], [np.float64(4.180390044073466), np.float64(5.1475300663098364), np.float64(4.142931194085739), np.float64(2.874110830724671), np.float64(3.5040820972240594)], [np.float64(6.377357634595169), np.float64(7.144146527698022), np.float64(5.994230957115427), np.float64(7.024296254744002), np.float64(4.701583295753376)], [np.float64(52.24475949698474), np.float64(64.36338175776706), np.float64(44.94966515395748), np.float64(59.57491626942313), np.float64(26.793213092251346)], [np.float64(26.970359370471147), np.float64(34.61399775808066), np.float64(22.536267157959486), np.float64(28.040542908485694), np.float64(16.10932067631467)]]","[[np.float64(1.4804286686044161), np.float64(1.4839535486976396), np.float64(1.698867791536603), np.float64(1.264659599311629), np.float64(1.2142267626569836)], [np.float64(4.184796911923102), np.float64(5.206715807039094), np.float64(4.15776404763713), np.float64(2.7084221994669697), np.float64(3.490947637044052)], [np.float64(6.020885335214876), np.float64(6.76756104555978), np.float64(5.494744959213744), np.float64(6.475276344962028), np.float64(4.996504338049539)], [np.float64(50.516628303283625), np.float64(63.57304139219681), np.float64(42.02446987995374), np.float64(54.82047119104597), np.float64(30.91652170223017)], [np.float64(26.229466174299944), np.float64(33.676392540105844), np.float64(21.67708705725968), np.float64(26.63030117074928), np.float64(17.377103596378646)]]"
1,2,"[[np.float64(1.4811425481164129), np.float64(1.5138507880759335), np.float64(1.6138244758964584), np.float64(1.3196471755076706), np.float64(1.3709769452700213)], [np.float64(3.672708489841809), np.float64(3.4759758128818508), np.float64(4.132153365985627), np.float64(3.1607457662971177), np.float64(3.7227965179282667)], [np.float64(6.948993211925183), np.float64(7.789528269432032), np.float64(6.529162209770376), np.float64(7.215137228058846), np.float64(5.779598049281906)], [np.float64(57.83266746132526), np.float64(72.12518204970968), np.float64(57.33747727960168), np.float64(51.222613864364774), np.float64(35.40294474766932)], [np.float64(31.99573088977133), np.float64(40.940196663711), np.float64(27.92410526602198), np.float64(29.83391510903032), np.float64(22.633503222280893)]]","[[np.float64(1.395678690938122), np.float64(1.4265506191901323), np.float64(1.5245132546219), np.float64(1.2152835493329488), np.float64(1.313428177205096)], [np.float64(3.6447696060281327), np.float64(3.806605663733253), np.float64(3.964749708531899), np.float64(2.8780309588515123), np.float64(3.5945066271919304)], [np.float64(5.712423942276446), np.float64(6.308397023713155), np.float64(5.669822822367561), np.float64(5.780651004538703), np.float64(4.598798980844505)], [np.float64(49.67523325029141), np.float64(59.53884540357351), np.float64(51.96777938358493), np.float64(44.94533470880239), np.float64(29.47399643775096)], [np.float64(26.955401085234964), np.float64(32.425302086861784), np.float64(26.857460241609807), np.float64(25.01990951005569), np.float64(18.05937174553298)]]","[[np.float64(1.3731738136752332), np.float64(1.3929743331924465), np.float64(1.4326093984737318), np.float64(1.2308584749332439), np.float64(1.3910897532217685)], [np.float64(3.4203506543087423), np.float64(3.445083815122222), np.float64(3.755291220652843), np.float64(2.835140684426729), np.float64(3.404671879597108)], [np.float64(5.548012332952445), np.float64(6.097979538156595), np.float64(5.595578931168874), np.float64(5.555117913205026), np.float64(4.435166245665173)], [np.float64(49.8486108343109), np.float64(59.30353561480339), np.float64(53.26294360396986), np.float64(43.931198138107604), np.float64(29.77468987542845)], [np.float64(25.87278064519008), np.float64(31.562551305396937), np.float64(26.002202154175162), np.float64(22.92292247784025), np.float64(17.134074786567176)]]"
2,3,"[[np.float64(1.4844409792661521), np.float64(1.4945874909923877), np.float64(1.4697544935174263), np.float64(1.5145784776202524), np.float64(1.4552496762509823)], [np.float64(4.144851413203278), np.float64(4.988599581399648), np.float64(4.1474040927032165), np.float64(3.1098048486866734), np.float64(3.4340032277944945)], [np.float64(6.6198418455086285), np.float64(7.106030120935625), np.float64(7.082703925132436), np.float64(6.039899501226733), np.float64(5.505756240283631)], [np.float64(52.79636125457903), np.float64(62.616053683048946), np.float64(57.98195121586803), np.float64(40.6923993163877), np.float64(33.80535887644395)], [np.float64(30.885900852900427), np.float64(35.79653330102197), np.float64(33.185892403656574), np.float64(25.970814686414126), np.float64(21.336436302940704)]]","[[np.float64(1.3330583677903873), np.float64(1.3814237709227637), np.float64(1.2908067473194071), np.float64(1.2782108878719214), np.float64(1.3688933306557352)], [np.float64(3.628463524421235), np.float64(4.2812958800285426), np.float64(3.627332070016411), np.float64(2.8024070923793336), np.float64(3.1463146063493768)], [np.float64(5.580741529938144), np.float64(6.277726850238577), np.float64(5.694189627972453), np.float64(5.10954872182572), np.float64(4.484221064497313)], [np.float64(47.23557534080748), np.float64(55.55237583922592), np.float64(51.7733238558978), np.float64(39.51573931399227), np.float64(27.635613807954694)], [np.float64(25.183766099579696), np.float64(29.26489394078872), np.float64(27.630589739376568), np.float64(20.095709535741094), np.float64(17.189708190845593)]]","[[np.float64(1.3909628022821514), np.float64(1.5044404307380146), np.float64(1.341732382597884), np.float64(1.2652226400605162), np.float64(1.3890572975792879)], [np.float64(3.479369285548989), np.float64(4.066485451082388), np.float64(3.5102730388046766), np.float64(2.7074605068596593), np.float64(3.0329497344862437)], [np.float64(5.271212913889422), np.float64(6.044775594423877), np.float64(5.14059803830312), np.float64(4.928207408462879), np.float64(4.2742949383801525)], [np.float64(47.824693202311344), np.float64(58.7768212452075), np.float64(50.66737629626567), np.float64(38.38232105117651), np.float64(26.221683230393158)], [np.float64(24.297171808858693), np.float64(29.6716743372187), np.float64(24.480020060678783), np.float64(20.41796435014299), np.float64(15.967197812426951)]]"
3,4,"[[np.float64(1.5672555753805302), np.float64(1.664157993782099), np.float64(1.5793773716675363), np.float64(1.594567440744719), np.float64(1.322898539001093)], [np.float64(4.585570265582194), np.float64(5.5204618593047226), np.float64(4.78038602882272), np.float64(3.2692415621960618), np.float64(3.385652453896207)], [np.float64(6.626495300660452), np.float64(7.358525054248644), np.float64(6.7958939633546), np.float64(6.161684634353876), np.float64(5.280035867793785)], [np.float64(54.835867033921204), np.float64(68.25536695532062), np.float64(56.97087072405134), np.float64(37.66280255169571), np.float64(35.272230744538824)], [np.float64(28.671816435710976), np.float64(34.94776038672264), np.float64(28.399122507687277), np.float64(22.423322529250527), np.float64(21.144908231878407)]]","[[np.float64(1.495365772284058), np.float64(1.5752851055754187), np.float64(1.5331857468983425), np.float64(1.374636929059439), np.float64(1.3997291896860162)], [np.float64(4.086669991583203), np.float64(4.959720104355876), np.float64(4.285073519709488), np.float64(2.792524133003865), np.float64(2.9578240040890886)], [np.float64(5.538007925765986), np.float64(6.464627420961905), np.float64(5.627483251180807), np.float64(4.74310195006014), np.float64(4.1546027553771365)], [np.float64(51.58606324748077), np.float64(66.18159339564116), np.float64(54.04751392318587), np.float64(32.61224632319956), np.float64(27.45294361788945)], [np.float64(25.691190719545244), np.float64(32.33390774743343), np.float64(26.936816309328126), np.float64(16.871489836129168), np.float64(15.423239487487784)]]","[[np.float64(1.5488126335250842), np.float64(1.4915700340169693), np.float64(1.725039609162568), np.float64(1.466760043278139), np.float64(1.4313127484098878)], [np.float64(4.339979384794556), np.float64(5.132812023938221), np.float64(4.790770987611437), np.float64(3.1210789646088997), np.float64(2.812309482321675)], [np.float64(5.323768556102095), np.float64(6.106765903932377), np.float64(5.496545916825792), np.float64(4.713236455740735), np.float64(3.9285917226336493)], [np.float64(50.66114325029351), np.float64(62.808496981504284), np.float64(55.32281781131485), np.float64(34.427341027209444), np.float64(26.217825219646674)], [np.float64(24.02678948538519), np.float64(29.425665754572478), np.float64(26.11308876588916), np.float64(16.458799225351473), np.float64(14.10742123890216)]]"
4,5,"[[np.float64(1.4471054925334508), np.float64(1.4739766312947473), np.float64(1.5315552750813153), np.float64(1.381399112361159), np.float64(1.3165326860284419)], [np.float64(3.903528232869199), np.float64(4.563395357138584), np.float64(3.8525776334872615), np.float64(3.531947315584395), np.float64(2.821743051551417)], [np.float64(6.288260517291937), np.float64(6.614100086479727), np.float64(6.536752356917616), np.float64(5.997036271438561), np.float64(5.482466757591966)], [np.float64(47.030895685409035), np.float64(53.33157621326807), np.float64(50.13218639514697), np.float64(39.17222289818423), np.float64(34.79871355664216)], [np.float64(28.5676631983736), np.float64(30.926836630726427), np.float64(28.72618135868041), np.float64(27.993094548654543), np.float64(23.777054764107238)]]","[[np.float64(1.3652381565444789), np.float64(1.4094167017951449), np.float64(1.4661530147041673), np.float64(1.157633124827532), np.float64(1.3075015708375652)], [np.float64(3.5433869047917725), np.float64(4.239546341842508), np.float64(3.414935952174747), np.float64(3.0709527770986647), np.float64(2.6015523471391715)], [np.float64(5.461461851776898), np.float64(5.855739984923577), np.float64(5.33287625751857), np.float64(5.072245310853489), np.float64(5.259230497323185)], [np.float64(43.43145877050216), np.float64(51.130421336701026), np.float64(40.492519012458544), np.float64(40.808823497668136), np.float64(33.26398486983896)], [np.float64(23.9560090571697), np.float64(26.173021819505557), np.float64(24.650286676205056), np.float64(21.79878664648499), np.float64(20.191995363131383)]]","[[np.float64(1.4202860485904218), np.float64(1.5201593008785088), np.float64(1.3514425453054022), np.float64(1.164995296244713), np.float64(1.5594222283892325)], [np.float64(3.4050219751680983), np.float64(3.863511665440484), np.float64(3.1413486904691963), np.float64(2.902223903931497), np.float64(3.3441869747301634)], [np.float64(5.478054714367847), np.float64(5.609419227832996), np.float64(5.590948170416806), np.float64(5.183028873091656), np.float64(5.33298144517308)], [np.float64(45.25749545799659), np.float64(49.36824687819729), np.float64(45.76737984762441), np.float64(45.91147961968958), np.float64(34.15261676976005)], [np.float64(23.836856613089747), np.float64(25.194856945434584), np.float64(24.94066673610488), np.float64(23.072810179319422), np.float64(19.78184593259201)]]"
5,6,"[[np.float64(1.4583407550583005), np.float64(1.5183402218460482), np.float64(1.3865061115463542), np.float64(1.5788059001719899), np.float64(1.345132850874789)], [np.float64(4.201001702703813), np.float64(4.978181041132528), np.float64(4.305030572655149), np.float64(3.5369762092369874), np.float64(3.3306454485715973)], [np.float64(6.815964729185763), np.float64(6.447703462391171), np.float64(6.410273436135449), np.float64(7.935749942682049), np.float64(6.738583908561742)], [np.float64(54.663571690236815), np.float64(62.50889546311565), np.float64(54.109502644203225), np.float64(54.51667898650835), np.float64(42.304934380815254)], [np.float64(30.02698328689937), np.float64(31.604700912949273), np.float64(28.385455964904168), np.float64(32.41579845471108), np.float64(27.456278645204154)]]","[[np.float64(1.362601650702876), np.float64(1.4892354802992511), np.float64(1.2133434662355727), np.float64(1.4328215909548743), np.float64(1.2888856208743957)], [np.float64(3.931688546083627), np.float64(4.7733979807778795), np.float64(4.193136163996282), np.float64(2.8967036365402254), np.float64(2.9632868692520757)], [np.float64(5.828803086961927), np.float64(5.717684020779848), np.float64(5.6297341922939905), np.float64(6.670407133495027), np.float64(5.414046206807843)], [np.float64(47.67941227763938), np.float64(52.36814336605336), np.float64(46.85855239011052), np.float64(51.30392896607143), np.float64(37.3509487775929)], [np.float64(25.072350405075774), np.float64(26.56884521126218), np.float64(23.690988228590882), np.float64(27.30599184861007), np.float64(22.39192600185569)]]","[[np.float64(1.3695875194990539), np.float64(1.433566620691455), np.float64(1.324444744798133), np.float64(1.3851970598604686), np.float64(1.3189453060563139)], [np.float64(3.7546057640955413), np.float64(4.537453130247969), np.float64(3.821460213145246), np.float64(2.909666107050495), np.float64(3.0589732859289462)], [np.float64(5.533664322883118), np.float64(5.272007250639674), np.float64(5.54761463581933), np.float64(6.370702186916533), np.float64(5.054019672551411)], [np.float64(45.450385811554206), np.float64(49.89350968634011), np.float64(45.61960252299755), np.float64(47.08579211854851), np.float64(36.3051744135475)], [np.float64(23.54116353087597), np.float64(24.95507608064171), np.float64(22.476793706460374), np.float64(24.782924335315027), np.float64(21.600488902471902)]]"
6,7,"[[np.float64(1.5221253271120139), np.float64(1.620580002697726), np.float64(1.4576384435764642), np.float64(1.5733996200946654), np.float64(1.4190190169875956)], [np.float64(3.7648156128294277), np.float64(3.9950108471574413), np.float64(4.114058868733482), np.float64(3.009118701368088), np.float64(3.335956896639169)], [np.float64(7.5369534954510184), np.float64(7.977874290871254), np.float64(7.484162586362871), np.float64(8.88343296777864), np.float64(5.573043684761897)], [np.float64(62.2556866167468), np.float64(76.61483870165031), np.float64(60.02186242703611), np.float64(62.000880374133544), np.float64(35.487149000972884)], [np.float64(32.53602487284851), np.float64(35.9154149202658), np.float64(33.32633318169205), np.float64(35.82106498190323), np.float64(21.433843951549004)]]","[[np.float64(1.389036249697708), np.float64(1.4877107394345537), np.float64(1.3596247822573302), np.float64(1.3998395250532747), np.float64(1.2625746315950348)], [np.float64(3.4374763835384847), np.float64(3.528897984248389), np.float64(3.876116050461672), np.float64(3.0845854316685855), np.float64(2.782992841129422)], [np.float64(6.248764621023971), np.float64(6.812770975133527), np.float64(6.128985049520888), np.float64(7.383708609405612), np.float64(4.298357963780587)], [np.float64(55.21170836762312), np.float64(67.78573551594283), np.float64(53.277167083734476), np.float64(54.96443317735495), np.float64(31.907665696743685)], [np.float64(27.944946595541364), np.float64(32.149412080788814), np.float64(27.578935511674057), np.float64(30.665506112609194), np.float64(17.497628141985757)]]","[[np.float64(1.5534044322165577), np.float64(1.8459495303568931), np.float64(1.333352664407253), np.float64(1.5382186455692668), np.float64(1.3711145959825515)], [np.float64(3.6196829501636705), np.float64(4.079509888366191), np.float64(3.6640052337124396), np.float64(3.452175025409943), np.float64(2.8435764014546403)], [np.float64(6.019185886068834), np.float64(6.736584857616847), np.float64(5.556232959799647), np.float64(6.9385653057050085), np.float64(4.625675867270862)], [np.float64(53.114946098740155), np.float64(65.4767037493071), np.float64(50.53701998337977), np.float64(52.477722003070504), np.float64(32.093977409697835)], [np.float64(26.98838778737199), np.float64(32.308171248003475), np.float64(25.37683788773292), np.float64(28.22219899109572), np.float64(17.937561403880235)]]"
7,8,"[[np.float64(1.5669455687925515), np.float64(1.7411541539917088), np.float64(1.5740247439807948), np.float64(1.4940984242104578), np.float64(1.268477554658586)], [np.float64(4.051710248136932), np.float64(4.5374312676429245), np.float64(4.009641332782615), np.float64(3.4875743567075848), np.float64(3.8066707527726873)], [np.float64(6.616759954207393), np.float64(6.761029103297543), np.float64(6.186791482264408), np.float64(7.426570306696912), np.float64(6.2710902889898135)], [np.float64(53.64933688985615), np.float64(58.079615205935916), np.float64(53.47702990563338), np.float64(56.524565990534676), np.float64(40.52914416062712)], [np.float64(29.28582100518722), np.float64(31.646534955202753), np.float64(28.08858880731214), np.float64(32.33273879645161), np.float64(23.000457466977757)]]","[[np.float64(1.4215569580424396), np.float64(1.6592353748082969), np.float64(1.3757051373476206), np.float64(1.3124223948473415), np.float64(1.1464075280943635)], [np.float64(3.7182322397974024), np.float64(4.190358877001204), np.float64(3.5855747885044162), np.float64(3.31660606283365), np.float64(3.5284475998887377)], [np.float64(5.477143245257037), np.float64(5.941465515689314), np.float64(4.733099675372773), np.float64(6.377843106324385), np.float64(4.986557553638284)], [np.float64(47.64528469201545), np.float64(52.27721589739921), np.float64(45.94473403950021), np.float64(51.01097272697792), np.float64(37.29925227178313)], [np.float64(23.98377691924712), np.float64(27.24081540177733), np.float64(22.306491114362064), np.float64(25.696868209744903), np.float64(18.554032412058717)]]","[[np.float64(1.4703832950692062), np.float64(1.7152526288759757), np.float64(1.4060845844962901), np.float64(1.3398730223735453), np.float64(1.2548955116203315)], [np.float64(3.443213472038354), np.float64(3.852981320711844), np.float64(3.3331147941412373), np.float64(3.1377801625492103), np.float64(3.2238866242797544)], [np.float64(5.247071709230843), np.float64(5.502626351379731), np.float64(4.820862517668731), np.float64(6.069264114086934), np.float64(4.611701209821256)], [np.float64(48.09901694866965), np.float64(54.26968872115578), np.float64(45.856829126653295), np.float64(51.31341013883993), np.float64(35.42977753669292)], [np.float64(23.98758942702602), np.float64(27.372992137275173), np.float64(23.03171031472221), np.float64(24.612414213168524), np.float64(17.94551011482245)]]"
8,9,"[[np.float64(1.4375762356540631), np.float64(1.6976145433357295), np.float64(1.2733830558404784), np.float64(1.2906704656361374), np.float64(1.362271918678437)], [np.float64(5.247646995798357), np.float64(7.542668362957945), np.float64(4.283659564227116), np.float64(3.4048318218817415), np.float64(3.350592849293218)], [np.float64(6.7973087900750055), np.float64(7.434413542968918), np.float64(6.741429167890592), np.float64(6.708072448122976), np.float64(5.836362672196452)], [np.float64(55.62008189884619), np.float64(62.586238114994046), np.float64(62.68125386936992), np.float64(51.56042984576533), np.float64(31.173878911705454)], [np.float64(28.983335432446626), np.float64(33.604390135984474), np.float64(29.67771613064921), np.float64(27.964241310257783), np.float64(19.381431021308572)]]","[[np.float64(1.3796317531947409), np.float64(1.7061265481470798), np.float64(1.1161258972371277), np.float64(1.23326065827968), np.float64(1.2981944042337505)], [np.float64(4.95071741209185), np.float64(7.3115189529346445), np.float64(3.89421791594034), np.float64(2.982593921635416), np.float64(2.9552778770102224)], [np.float64(5.878899089947416), np.float64(6.593931469553188), np.float64(5.871995157517176), np.float64(5.896141628515212), np.float64(4.487931236279404)], [np.float64(52.27008686897931), np.float64(57.8070150734811), np.float64(60.92159979918698), np.float64(47.49566511613406), np.float64(27.937067750282626)], [np.float64(26.117688289035147), np.float64(28.85754904000495), np.float64(29.37509372978214), np.float64(24.51754375086809), np.float64(15.915454474333977)]]","[[np.float64(1.4753194502368119), np.float64(1.8804622322770606), np.float64(1.1695922325872408), np.float64(1.32847882339315), np.float64(1.285341116199901)], [np.float64(4.792683989912083), np.float64(7.111852220244032), np.float64(3.6203006565977636), np.float64(3.0430720789673433), np.float64(2.846787873518209)], [np.float64(5.652381151937313), np.float64(6.296288295348015), np.float64(5.6322890148364655), np.float64(5.496499311266356), np.float64(4.667067568894727)], [np.float64(51.65050951230511), np.float64(56.19660558572487), np.float64(61.98896667689665), np.float64(45.45199152567326), np.float64(27.307851982370497)], [np.float64(24.25086443358127), np.float64(27.069767398199645), np.float64(26.661689105448286), np.float64(22.316815670048513), np.float64(16.312808280023766)]]"
9,10,"[[np.float64(1.5129595759053036), np.float64(1.671770627244709), np.float64(1.5118350493453867), np.float64(1.4423182660353056), np.float64(1.1699915876009481)], [np.float64(4.57028310652441), np.float64(6.1258452189204355), np.float64(3.5141765328531402), np.float64(3.020386726410542), np.float64(3.659962032807971)], [np.float64(6.8085133517916745), np.float64(7.556725457635732), np.float64(7.1592787854512965), np.float64(5.484553800199738), np.float64(5.6454323152902965)], [np.float64(55.053262608708266), np.float64(66.406979112941), np.float64(52.83167756033804), np.float64(42.034061898601806), np.float64(43.008164745821745)], [np.float64(28.969079159198948), np.float64(34.845229066317394), np.float64(28.197853657815234), np.float64(22.262821610562238), np.float64(21.82354315845541)]]","[[np.float64(1.389263812177983), np.float64(1.55728646726173), np.float64(1.406422940285952), np.float64(1.2518433890556055), np.float64(1.061797208382382)], [np.float64(4.245209107077364), np.float64(5.687711683033982), np.float64(3.471422433892502), np.float64(2.6707665498597817), np.float64(3.129899848989425)], [np.float64(5.57138728917533), np.float64(6.229691825118957), np.float64(5.8390258197588825), np.float64(4.602147910104368), np.float64(4.374994023593737)], [np.float64(48.28428077255373), np.float64(56.1071611034113), np.float64(48.19718983432982), np.float64(40.20878636852112), np.float64(36.41220165459325)], [np.float64(23.19847089499796), np.float64(26.40333318567003), np.float64(23.537234266191852), np.float64(20.956830624189333), np.float64(16.048030106515636)]]","[[np.float64(1.46538534665679), np.float64(1.656437404743744), np.float64(1.4075585828681407), np.float64(1.375087764995228), np.float64(1.1811245103520707)], [np.float64(4.036343716438689), np.float64(5.293575167427987), np.float64(3.4183863161475414), np.float64(2.700977640347549), np.float64(3.017733206804547)], [np.float64(5.292111232714664), np.float64(5.985792155676508), np.float64(5.468924075475734), np.float64(4.393527414341891), np.float64(4.098199987005222)], [np.float64(48.77684441719511), np.float64(58.631645049814836), np.float64(47.25341699928144), np.float64(40.30472194492148), np.float64(33.57712987729101)], [np.float64(23.155574953035405), np.float64(27.30216152374304), np.float64(23.519851149495793), np.float64(19.11990124438148), np.float64(15.002764323242381)]]"
