,seed,regression,xgboost,cnn
0,1,"[[np.float64(1.3665012102921763), np.float64(1.4191710447703867), np.float64(1.4575084685704913), np.float64(1.396955713716683), np.float64(1.0988027499803874)], [np.float64(3.3623142983030054), np.float64(3.534184286188105), np.float64(3.7141429464588427), np.float64(3.2282147028760764), np.float64(2.5717601200305844)], [np.float64(5.9056522029811065), np.float64(5.1312890518012875), np.float64(6.637481433115694), np.float64(6.194637973036953), np.float64(5.506698722906609)], [np.float64(43.55910662783794), np.float64(41.47187952308784), np.float64(51.94599626835709), np.float64(41.76705309457345), np.float64(32.69697885671287)], [np.float64(25.988332915160896), np.float64(26.093073614578866), np.float64(29.226758544869345), np.float64(24.907068207550175), np.float64(21.06796035170012)]]","[[np.float64(1.261942926539533), np.float64(1.3222262921555432), np.float64(1.3359126387627527), np.float64(1.3347192253945899), np.float64(0.9656870961057861)], [np.float64(3.177151056367448), np.float64(3.346962180742349), np.float64(3.6623824228635633), np.float64(2.9141761610478065), np.float64(2.2016805412493)], [np.float64(4.983005494634158), np.float64(4.452129453277691), np.float64(5.84227620960599), np.float64(4.784221133050713), np.float64(4.415432927686381)], [np.float64(39.552585361599476), np.float64(38.059826141428935), np.float64(48.71076275315349), np.float64(34.51151858800366), np.float64(28.566248330953126)], [np.float64(22.411335250688488), np.float64(21.572174802864453), np.float64(27.25418928030812), np.float64(19.377300138871266), np.float64(17.194901387115628)]]","[[np.float64(1.310939672399055), np.float64(1.2724356210470606), np.float64(1.4078092264892186), np.float64(1.4050831160643635), np.float64(1.1213676135686406)], [np.float64(3.1243227602342682), np.float64(3.236358215010583), np.float64(3.5702261599294167), np.float64(2.895259690899737), np.float64(2.3220151119550954)], [np.float64(4.648046208336), np.float64(4.396090790263328), np.float64(5.297494861024625), np.float64(4.498129146238768), np.float64(4.028621863500238)], [np.float64(37.762689418284225), np.float64(37.162999048019515), np.float64(45.81768725930104), np.float64(34.470030975156945), np.float64(25.90674114157163)], [np.float64(20.587240596286946), np.float64(21.17276780090117), np.float64(24.017765198129407), np.float64(17.882931080404283), np.float64(15.612172215995711)]]"
1,2,"[[np.float64(1.4324012924037992), np.float64(1.4273536207272564), np.float64(1.4896935567051737), np.float64(1.4801192348485366), np.float64(1.2687330590872057)], [np.float64(3.733151871235354), np.float64(4.524013878690182), np.float64(3.3036146584599386), np.float64(3.4466708690911507), np.float64(3.1302817981081392)], [np.float64(6.051773956955596), np.float64(5.809128621204935), np.float64(7.103700870772444), np.float64(5.164868460442481), np.float64(5.331890867999259)], [np.float64(45.81676439571112), np.float64(44.7562824698241), np.float64(58.57944553459644), np.float64(32.71025753133752), np.float64(32.55244385690081)], [np.float64(26.582752735731113), np.float64(27.998515451653848), np.float64(31.033463792904097), np.float64(20.898150727439155), np.float64(20.35072765217861)]]","[[np.float64(1.3624992113454082), np.float64(1.3910617167285522), np.float64(1.4047350325317358), np.float64(1.3846184364006269), np.float64(1.1943536085896869)], [np.float64(3.2551162551443458), np.float64(4.030206988097236), np.float64(2.847798986967263), np.float64(2.952431060239741), np.float64(2.6273516229033507)], [np.float64(5.1325421625803695), np.float64(4.774303481161291), np.float64(6.1669828505121815), np.float64(4.497229138906015), np.float64(4.335674383764514)], [np.float64(43.624156227846406), np.float64(42.57581004441314), np.float64(56.67169765642196), np.float64(29.934642821836604), np.float64(29.498981254623295)], [np.float64(22.93273370577374), np.float64(22.9971140806681), np.float64(28.466209220765375), np.float64(16.55415549970177), np.float64(17.27784565345606)]]","[[np.float64(1.593601644747474), np.float64(1.9475028537771488), np.float64(1.4279492481924425), np.float64(1.4691657836320777), np.float64(1.2587830458910194)], [np.float64(3.530368889365037), np.float64(4.650058541775562), np.float64(2.978244236316135), np.float64(2.952408433997623), np.float64(2.5488861282328963)], [np.float64(5.158164029509688), np.float64(5.61229455045898), np.float64(5.709369492489721), np.float64(4.376094153551855), np.float64(3.927615344752104)], [np.float64(45.52225192757621), np.float64(52.174923675242745), np.float64(54.716236208876666), np.float64(28.207475766829408), np.float64(26.345662887058214)], [np.float64(23.772795957289823), np.float64(27.850577191777187), np.float64(26.964359946699542), np.float64(16.101070488514686), np.float64(15.525810144499578)]]"
2,3,"[[np.float64(1.4625032154488302), np.float64(1.5266028665005564), np.float64(1.5210086072373106), np.float64(1.3029093717082147), np.float64(1.4056785396958575)], [np.float64(3.723139293098925), np.float64(4.007189329354639), np.float64(3.755151241366495), np.float64(3.0717352084126155), np.float64(3.793028042973518)], [np.float64(5.694372871920687), np.float64(5.3775278674660925), np.float64(5.91764214044055), np.float64(5.888122483531409), np.float64(5.664374205112134)], [np.float64(46.95722951591012), np.float64(50.94780251292985), np.float64(50.51598744157685), np.float64(41.8223381515945), np.float64(36.776350708676915)], [np.float64(24.942860081026407), np.float64(26.372309996687008), np.float64(24.92089334857888), np.float64(24.649073365286966), np.float64(22.24862447900755)]]","[[np.float64(1.3568604635885668), np.float64(1.4244565076669835), np.float64(1.4414802869634082), np.float64(1.144467513002026), np.float64(1.2970463688823795)], [np.float64(3.487470163162965), np.float64(3.808770934919184), np.float64(3.690870628714864), np.float64(2.7279772514687193), np.float64(3.2493998124755)], [np.float64(5.031553619380269), np.float64(5.116272501179231), np.float64(4.987557126122922), np.float64(5.1107490804077065), np.float64(4.839110893936323)], [np.float64(44.86674518112056), np.float64(49.06559744961468), np.float64(48.1637314455986), np.float64(40.053457167809846), np.float64(34.17867644911026)], [np.float64(22.17789933183989), np.float64(24.91315434320086), np.float64(21.97788029157844), np.float64(20.641294521630847), np.float64(18.153347446029926)]]","[[np.float64(1.4432546985027879), np.float64(1.4550922157775719), np.float64(1.4484270993299007), np.float64(1.152349338284391), np.float64(1.7028016615637496)], [np.float64(3.298805010504646), np.float64(3.5612825138056783), np.float64(3.3463307980178665), np.float64(2.921670638178614), np.float64(3.0900318159419644)], [np.float64(4.9217146648483014), np.float64(4.6370021789015485), np.float64(4.7916257317535), np.float64(5.083846218277342), np.float64(5.474630294787625)], [np.float64(44.56761766428375), np.float64(46.409974517624555), np.float64(47.28970840589923), np.float64(39.35383288576265), np.float64(41.60988939805249)], [np.float64(21.808659982969658), np.float64(23.510061467246974), np.float64(20.844675176668524), np.float64(20.712995039855564), np.float64(21.245420616700123)]]"
3,4,"[[np.float64(1.3888066786472093), np.float64(1.4404394473117543), np.float64(1.387134412744873), np.float64(1.2829065144185101), np.float64(1.4096420260204983)], [np.float64(3.443752406497553), np.float64(3.5513927405780428), np.float64(3.7663989042470614), np.float64(2.937660955026918), np.float64(3.22116055714315)], [np.float64(5.377345523365024), np.float64(5.183258306659399), np.float64(5.883070817121229), np.float64(5.010826348801541), np.float64(5.174520516865771)], [np.float64(41.14246689687649), np.float64(44.33053482319736), np.float64(48.27940912918518), np.float64(32.42830822438383), np.float64(31.591598105777052)], [np.float64(23.844700015930016), np.float64(25.540470069869514), np.float64(24.593619658581755), np.float64(21.954062567683785), np.float64(22.018269135430188)]]","[[np.float64(1.3068704209194295), np.float64(1.3914926960666867), np.float64(1.2813583507119373), np.float64(1.251656198880476), np.float64(1.2764550414170899)], [np.float64(3.203427997971057), np.float64(3.473799519445326), np.float64(3.4802684137454523), np.float64(2.865431835178225), np.float64(2.6696787330097353)], [np.float64(4.62969903832383), np.float64(4.638796693725691), np.float64(5.328244688839456), np.float64(4.069343496738281), np.float64(3.9673969043347435)], [np.float64(38.37261653408878), np.float64(42.0051720273149), np.float64(46.170870256249245), np.float64(29.17404757286566), np.float64(26.596969782877224)], [np.float64(19.87696930837247), np.float64(21.640254525197296), np.float64(21.764717358472936), np.float64(17.781195474892122), np.float64(16.107674573674778)]]","[[np.float64(1.392295685917541), np.float64(1.523096115910191), np.float64(1.37018912452391), np.float64(1.3640823934019413), np.float64(1.2676386483136413)], [np.float64(3.186822084942032), np.float64(3.392637695087269), np.float64(3.616506339413844), np.float64(2.8014285373140138), np.float64(2.5129855607735623)], [np.float64(4.628486645568374), np.float64(4.547215417615303), np.float64(5.2611854222240195), np.float64(4.148486778282056), np.float64(4.146629621915205)], [np.float64(39.3553597350963), np.float64(41.30510977380111), np.float64(47.29805858982864), np.float64(29.62425262160381), np.float64(30.907317907747295)], [np.float64(20.10658756097475), np.float64(20.715519355368656), np.float64(23.061008199356507), np.float64(17.1779755678797), np.float64(16.941292556081837)]]"
4,5,"[[np.float64(1.506633904587689), np.float64(1.6571559412091295), np.float64(1.4905019659053018), np.float64(1.4101801201930189), np.float64(1.3640381308701304)], [np.float64(3.4905286102337567), np.float64(3.9083286863848423), np.float64(3.1611979561734724), np.float64(3.4583756078634558), np.float64(3.290217705969109)], [np.float64(5.702636589910985), np.float64(5.831757095438328), np.float64(5.924586571919623), np.float64(5.923205757955904), np.float64(4.957230744897952)], [np.float64(42.27063168118906), np.float64(47.07826412288029), np.float64(43.533402361930506), np.float64(42.36763713056564), np.float64(31.441984862325157)], [np.float64(25.16225288926569), np.float64(27.039067455922787), np.float64(25.478530860586435), np.float64(26.314496240077172), np.float64(20.39032276604303)]]","[[np.float64(1.401958545485293), np.float64(1.5749467560275743), np.float64(1.343752150974607), np.float64(1.3237298589460413), np.float64(1.2640988348283144)], [np.float64(3.230818080081196), np.float64(3.7763909334507066), np.float64(3.1001018029249283), np.float64(2.5972074225224073), np.float64(2.991955295903478)], [np.float64(4.7759478497794055), np.float64(4.950844051947541), np.float64(4.675895646050359), np.float64(5.237604416638485), np.float64(4.216204843456902)], [np.float64(38.79484939040971), np.float64(44.59935587673451), np.float64(36.79132737512054), np.float64(40.6358922286911), np.float64(29.575722255422907)], [np.float64(20.685570390016927), np.float64(24.267591073265923), np.float64(20.23734111712154), np.float64(20.033216327860707), np.float64(15.34923199827357)]]","[[np.float64(1.5504006202843457), np.float64(1.7799744494975673), np.float64(1.5489706565323285), np.float64(1.291276480383215), np.float64(1.3709495126530922)], [np.float64(3.3136573710772885), np.float64(3.85067874396104), np.float64(3.255486280590511), np.float64(2.7108987014582655), np.float64(2.9638007292743787)], [np.float64(4.796978242640199), np.float64(5.394620946919113), np.float64(4.838296342225366), np.float64(4.459117250177015), np.float64(3.995621879248053)], [np.float64(39.81549761761753), np.float64(47.933503195514014), np.float64(39.712096406591684), np.float64(35.95855640259145), np.float64(27.87609646211599)], [np.float64(20.99176031510853), np.float64(25.168416062549614), np.float64(21.80077503620395), np.float64(17.776221460220924), np.float64(14.424519409157929)]]"
5,6,"[[np.float64(1.5145142841883084), np.float64(1.6308037745016677), np.float64(1.4283149122496543), np.float64(1.565713526617775), np.float64(1.445238409489256)], [np.float64(3.5137892373400668), np.float64(3.6872298409686453), np.float64(3.346470018413907), np.float64(3.225357612155269), np.float64(3.629934820491544)], [np.float64(5.888537138459655), np.float64(6.128091203305483), np.float64(5.62519312262213), np.float64(6.658825075495425), np.float64(5.502674996145329)], [np.float64(48.95263837924031), np.float64(55.215003100739274), np.float64(49.17715698358052), np.float64(51.96384224926853), np.float64(38.022714230798904)], [np.float64(27.666135509828756), np.float64(33.289961514168745), np.float64(26.258373508746878), np.float64(25.912171258537768), np.float64(22.2086869793519)]]","[[np.float64(1.426522319651384), np.float64(1.5708555248131324), np.float64(1.374768012330858), np.float64(1.3020191459379753), np.float64(1.3626755785920053)], [np.float64(3.2550187037638736), np.float64(3.654413133892317), np.float64(3.0283411810920433), np.float64(2.71748730225084), np.float64(3.2501492102224514)], [np.float64(5.034572844124383), np.float64(5.463614894303196), np.float64(4.770933231787996), np.float64(5.710593995724906), np.float64(4.429564698767103)], [np.float64(43.05033687634846), np.float64(50.286352191528614), np.float64(42.26230220354207), np.float64(46.04302124677156), np.float64(31.639365796153786)], [np.float64(22.179507578120386), np.float64(27.434109933756115), np.float64(21.1760831622864), np.float64(20.746635585669676), np.float64(16.215689475766013)]]","[[np.float64(1.50344133144948), np.float64(1.5997660473012165), np.float64(1.4922137816257854), np.float64(1.343209755378153), np.float64(1.4706548701498705)], [np.float64(3.161299408482777), np.float64(3.3087553938377696), np.float64(3.0039878810502487), np.float64(2.7524121791557614), np.float64(3.3447296287801107)], [np.float64(4.88400144033464), np.float64(5.358182310010636), np.float64(4.734301062255542), np.float64(5.702435621144444), np.float64(3.9560549086463235)], [np.float64(42.56850190757184), np.float64(51.38903487424194), np.float64(39.98196127060475), np.float64(46.14831746089134), np.float64(30.486006687161364)], [np.float64(21.600251180982564), np.float64(27.318093333012552), np.float64(19.73460446469106), np.float64(20.66684709805376), np.float64(15.65301359221453)]]"
6,7,"[[np.float64(1.3798560223208776), np.float64(1.3865228534945417), np.float64(1.4665976143274444), np.float64(1.4042647967284434), np.float64(1.1952871434010093)], [np.float64(3.3716119156978785), np.float64(3.069808540660025), np.float64(4.219561520633667), np.float64(2.8332110925712923), np.float64(2.6439053376155828)], [np.float64(6.323334698673059), np.float64(5.935505591573009), np.float64(7.22175056530599), np.float64(6.206649463801117), np.float64(5.419658756688626)], [np.float64(52.05468812702921), np.float64(49.76432786815959), np.float64(63.156235000066005), np.float64(48.325041937218465), np.float64(36.89960386986887)], [np.float64(29.61488890386261), np.float64(30.28974920908574), np.float64(34.43672325086258), np.float64(26.158891612141872), np.float64(22.032375943319654)]]","[[np.float64(1.34091997278125), np.float64(1.3643231032051875), np.float64(1.387196542990958), np.float64(1.253592964911352), np.float64(1.2989970834274551)], [np.float64(3.116335188709369), np.float64(2.984154472310956), np.float64(3.813694656874847), np.float64(2.35168915840049), np.float64(2.606096513609089)], [np.float64(5.36086213471545), np.float64(4.8354007146327165), np.float64(6.050602050063796), np.float64(5.34809885753341), np.float64(4.976375402039962)], [np.float64(46.54241298241736), np.float64(41.95797700434092), np.float64(57.34835640405848), np.float64(45.83942363479463), np.float64(32.83375745431979)], [np.float64(24.429707263703147), np.float64(22.204523250247345), np.float64(30.388018252554915), np.float64(21.628716543342893), np.float64(18.685401383723626)]]","[[np.float64(1.4338114922676146), np.float64(1.6887031962606058), np.float64(1.3741197046429614), np.float64(1.215555136334387), np.float64(1.248432046999577)], [np.float64(3.171645761758288), np.float64(3.2073140884168163), np.float64(3.8095390630054484), np.float64(2.238327840050665), np.float64(2.6165095742999527)], [np.float64(5.225384256489899), np.float64(4.873392333262241), np.float64(5.880433331492616), np.float64(5.233261826969604), np.float64(4.61299436883239)], [np.float64(47.115280385667326), np.float64(45.277278572763116), np.float64(57.066767693161054), np.float64(44.77492912087839), np.float64(31.998688653676755)], [np.float64(24.881833938902908), np.float64(23.924009583856517), np.float64(30.444053116873004), np.float64(22.145579049054135), np.float64(17.666712209470592)]]"
7,8,"[[np.float64(1.415962226981848), np.float64(1.5707405198036448), np.float64(1.3569069511248455), np.float64(1.4228288420968596), np.float64(1.2469494171890925)], [np.float64(3.6975241238733343), np.float64(3.992383708017757), np.float64(3.8417826760412814), np.float64(3.269240299515749), np.float64(3.3598303695562337)], [np.float64(6.091082423455465), np.float64(6.379397943443369), np.float64(6.568212110456222), np.float64(5.744369914400658), np.float64(5.121753269827797)], [np.float64(45.161218911338125), np.float64(50.11915747351331), np.float64(48.158957873966024), np.float64(42.904967684373986), np.float64(33.059566161278916)], [np.float64(25.502367538498103), np.float64(27.447638463030746), np.float64(26.897847751181637), np.float64(23.55017191391246), np.float64(21.711806197405153)]]","[[np.float64(1.3265545884151546), np.float64(1.4740623197265177), np.float64(1.2592547841742525), np.float64(1.3388939929453334), np.float64(1.1772843444039267)], [np.float64(3.358577737518382), np.float64(3.8315289892439774), np.float64(3.462481107749472), np.float64(2.863782293972272), np.float64(2.8078970895745377)], [np.float64(4.921404744281233), np.float64(5.2731965987404275), np.float64(5.331075175327583), np.float64(4.2534166761204775), np.float64(4.233560554945313)], [np.float64(41.68010114290376), np.float64(47.53921957338254), np.float64(44.72924351821339), np.float64(35.70335847647671), np.float64(31.170107464847543)], [np.float64(21.28411227946635), np.float64(23.87288029625665), np.float64(22.607827594950248), np.float64(17.710296831347144), np.float64(17.73205817602787)]]","[[np.float64(1.4298043500807716), np.float64(1.4755455232109371), np.float64(1.5460325162090647), np.float64(1.4031494525834898), np.float64(1.1790652805665056)], [np.float64(3.4244466416701114), np.float64(3.645435761726862), np.float64(3.8697958363490015), np.float64(2.7551296031445087), np.float64(2.848512124849946)], [np.float64(4.750977104663749), np.float64(5.141168693634343), np.float64(5.077097638214473), np.float64(4.14275160097659), np.float64(4.092847217447195)], [np.float64(40.532874195286496), np.float64(45.04539330781163), np.float64(43.69902638029778), np.float64(35.68000741099728), np.float64(31.507166036840125)], [np.float64(20.910900312531993), np.float64(22.79670513526208), np.float64(23.64437861588724), np.float64(16.244083490844073), np.float64(16.813160058434928)]]"
8,9,"[[np.float64(1.4192410635292354), np.float64(1.3335346459591075), np.float64(1.5749121070472165), np.float64(1.5773219073386455), np.float64(1.120398347938375)], [np.float64(3.5669774843629454), np.float64(4.0516715102901895), np.float64(3.478283616121969), np.float64(3.2886496950654522), np.float64(2.907139240987449)], [np.float64(5.9046320038494695), np.float64(6.041132372342008), np.float64(5.794443935224751), np.float64(6.8399759972822425), np.float64(4.7752894821142915)], [np.float64(45.150079145354916), np.float64(46.06549212826295), np.float64(49.6329220523196), np.float64(47.22618939698728), np.float64(31.580053105741825)], [np.float64(26.302367198072737), np.float64(27.513935973736842), np.float64(28.387375527348784), np.float64(26.3434566212509), np.float64(19.394455971234986)]]","[[np.float64(1.3036668686946868), np.float64(1.2524914454083187), np.float64(1.3887270099892757), np.float64(1.4359790357346944), np.float64(1.1111745201117076)], [np.float64(3.3160880322905557), np.float64(3.9416248766824826), np.float64(3.068103375705954), np.float64(2.777360433414014), np.float64(2.821853089711109)], [np.float64(4.751201861901245), np.float64(4.900638379794345), np.float64(4.579050899762624), np.float64(5.668139570359541), np.float64(3.687257921686497)], [np.float64(40.25361191643914), np.float64(41.68115649806897), np.float64(42.44801313295718), np.float64(44.611097834581685), np.float64(27.431360040687604)], [np.float64(21.31792879755608), np.float64(24.241914290575778), np.float64(20.512924094931073), np.float64(22.563475637097454), np.float64(14.286111969705626)]]","[[np.float64(1.3555699676703956), np.float64(1.3042605549610056), np.float64(1.4146500427577515), np.float64(1.5095667306041407), np.float64(1.1910556340660416)], [np.float64(3.16325275609106), np.float64(3.716209067479124), np.float64(2.939238948058395), np.float64(2.837660695608761), np.float64(2.606051920122475)], [np.float64(4.585323165458543), np.float64(4.57751810995383), np.float64(4.505712313047594), np.float64(5.3681921139586875), np.float64(3.888982057690103)], [np.float64(39.623047715695144), np.float64(40.49940491853518), np.float64(41.65132187801278), np.float64(43.352003280485825), np.float64(29.58570377081289)], [np.float64(21.38471795137299), np.float64(23.765345675404298), np.float64(21.303564748245062), np.float64(22.21429340154794), np.float64(14.947898796932671)]]"
9,10,"[[np.float64(1.5167990573879206), np.float64(1.5987748610122758), np.float64(1.408683116244878), np.float64(1.5505846793713054), np.float64(1.525392544374378)], [np.float64(3.8673565990571426), np.float64(4.389014309880908), np.float64(3.83264808533363), np.float64(3.3020058196959874), np.float64(3.5148282397359396)], [np.float64(5.757732306788024), np.float64(5.690449400599886), np.float64(5.683418491445152), np.float64(5.866695669093682), np.float64(5.880865440026472)], [np.float64(45.18956099099405), np.float64(49.50999945596075), np.float64(46.213688103852526), np.float64(41.61522311230327), np.float64(39.212547218388124)], [np.float64(25.95907260326397), np.float64(30.145243824819534), np.float64(24.031235599069184), np.float64(22.631579745395175), np.float64(24.724678350215367)]]","[[np.float64(1.3866948493728286), np.float64(1.4158351474596644), np.float64(1.343672130775088), np.float64(1.3847346216073142), np.float64(1.4112096799263263)], [np.float64(3.6186647589148406), np.float64(4.425475205281245), np.float64(3.5017448820874435), np.float64(2.818129444498549), np.float64(3.0039972888424398)], [np.float64(4.880830087317987), np.float64(4.856428427676237), np.float64(5.12904778546559), np.float64(4.732410502163462), np.float64(4.630965878271592)], [np.float64(41.8223208318422), np.float64(45.26088582868127), np.float64(44.78791624229746), np.float64(34.79846324048699), np.float64(36.753393281969814)], [np.float64(23.4968694685756), np.float64(25.532037376800247), np.float64(25.618192175634444), np.float64(18.9401211086218), np.float64(20.04548834159673)]]","[[np.float64(1.5002765995322516), np.float64(1.5045726677945306), np.float64(1.5554290200151777), np.float64(1.4117628593490261), np.float64(1.4788067861262868)], [np.float64(3.7023344560333906), np.float64(4.188607240051749), np.float64(3.772230581668274), np.float64(3.028078388103216), np.float64(3.3138211821021084)], [np.float64(4.827219990873552), np.float64(4.512532051369651), np.float64(5.327083658578307), np.float64(4.655253045867049), np.float64(4.5909573630166545)], [np.float64(42.83311855148371), np.float64(42.73468269383214), np.float64(50.40642669911564), np.float64(33.26511783176069), np.float64(36.778873532827326)], [np.float64(23.310951810244404), np.float64(23.21760172820982), np.float64(28.462597375311685), np.float64(17.50497068863953), np.float64(18.155714002855667)]]"
