,seed,xgboost,cnn
0,1,"[np.float64(2.0804699637616846), np.float64(6.572763723164995), np.float64(51.66046359259691)]","[np.float64(2.4130074968217605), np.float64(7.431756710430093), np.float64(60.58215245843515)]"
1,2,"[np.float64(2.284518663317693), np.float64(7.690187337379841), np.float64(69.04135865565351)]","[np.float64(2.511071595279425), np.float64(8.1867574830258), np.float64(71.89038420428643)]"
2,3,"[np.float64(2.013527882878249), np.float64(5.927611109546127), np.float64(61.60065498669889)]","[np.float64(2.495071373051355), np.float64(6.086426373649546), np.float64(61.98552311580819)]"
3,4,"[np.float64(2.348226515936685), np.float64(5.238446998093885), np.float64(58.94764132376943)]","[np.float64(2.667555095220189), np.float64(5.369476325388761), np.float64(66.0174487221381)]"
4,5,"[np.float64(2.561312057199531), np.float64(7.969857592186601), np.float64(70.49034331520903)]","[np.float64(2.8152073504269275), np.float64(8.457342160282153), np.float64(84.32099848478161)]"
