,seed,regression,xgboost,cnn
0,1,"[[np.float64(1.2957943728314074), np.float64(1.337715366128982), np.float64(1.28965781186743), np.float64(1.211845702508674), np.float64(1.305502707503158)], [np.float64(3.147228408489299), np.float64(3.8091964888609335), np.float64(2.8995685902743986), np.float64(2.4804889490718893), np.float64(2.83659469197074)], [np.float64(5.394383614037535), np.float64(5.055974314067587), np.float64(5.618579688419186), np.float64(5.228251163784584), np.float64(5.680593995332051)], [np.float64(39.44627527243134), np.float64(40.99042598389379), np.float64(38.61335092105702), np.float64(39.83268994779056), np.float64(37.871198697284434)], [np.float64(23.87756912514692), np.float64(25.347038986588043), np.float64(22.430891044349757), np.float64(23.318590841446603), np.float64(24.251089764584314)]]","[[np.float64(1.2392216984192317), np.float64(1.304857724553178), np.float64(1.1956115624296064), np.float64(1.222877349370712), np.float64(1.2145590864815192)], [np.float64(2.877462959305104), np.float64(3.5353157706573777), np.float64(2.5893832540680104), np.float64(2.3922087715759828), np.float64(2.4830161170022214)], [np.float64(4.437261482612911), np.float64(4.160125656188488), np.float64(4.403160329990891), np.float64(4.289936417469101), np.float64(5.031686266369843)], [np.float64(36.67131645633294), np.float64(38.578259400619714), np.float64(35.90709232750645), np.float64(37.433939163958115), np.float64(33.93637806706186)], [np.float64(19.644644517134783), np.float64(21.94107287336876), np.float64(18.556201339025048), np.float64(16.701771169725504), np.float64(19.771331938433836)]]","[[np.float64(1.300489589705027), np.float64(1.4048079901479138), np.float64(1.278000476721715), np.float64(1.178394144057321), np.float64(1.2576990634233463)], [np.float64(2.8916049411912597), np.float64(3.346214988319462), np.float64(2.820607609795182), np.float64(2.488201866902096), np.float64(2.489684084635618)], [np.float64(4.308644605831312), np.float64(4.0688386688002165), np.float64(4.36798906513233), np.float64(4.179238805117447), np.float64(4.689169759210623)], [np.float64(36.69188907476367), np.float64(39.07589773126802), np.float64(36.427313269251314), np.float64(38.3880660555635), np.float64(31.094761562246603)], [np.float64(20.023600141109842), np.float64(23.66805294094975), np.float64(18.875475390157426), np.float64(15.915238085073797), np.float64(18.434871637481262)]]"
1,2,"[[np.float64(1.2766150063096586), np.float64(1.254647562539093), np.float64(1.3245223327485), np.float64(1.183343017093354), np.float64(1.333124361957058)], [np.float64(3.130593730422671), np.float64(3.2665005708801282), np.float64(3.43982690318241), np.float64(2.531972337219547), np.float64(2.8659489198231785)], [np.float64(5.5730000378455635), np.float64(5.011812252722917), np.float64(6.000546314271408), np.float64(5.703944622860857), np.float64(5.650755850281687)], [np.float64(43.10150084912822), np.float64(43.19166597116125), np.float64(49.19521292872917), np.float64(38.55337560213933), np.float64(34.901772678028316)], [np.float64(26.168532517034514), np.float64(26.530380841239865), np.float64(29.035996971650174), np.float64(24.446629767032714), np.float64(21.21966828188303)]]","[[np.float64(1.267256404296659), np.float64(1.2622937693836764), np.float64(1.3628646049362265), np.float64(1.1125447521967946), np.float64(1.261308017013331)], [np.float64(2.9916007907202964), np.float64(3.4002026037367994), np.float64(3.2466422000706427), np.float64(2.031187765678122), np.float64(2.5258063842943574)], [np.float64(4.700714884456685), np.float64(4.223046805805196), np.float64(5.06050292150593), np.float64(4.992728435490206), np.float64(4.550351084171129)], [np.float64(37.82923298337361), np.float64(37.27829868678459), np.float64(42.44831354348588), np.float64(36.342341906351585), np.float64(30.727282229117396)], [np.float64(20.869260504856037), np.float64(21.216952629578824), np.float64(23.182871988966305), np.float64(19.972143102146045), np.float64(16.024888913172294)]]","[[np.float64(1.3869349748915145), np.float64(1.6091534682010373), np.float64(1.3887122980704634), np.float64(1.1239751045726547), np.float64(1.1631571329766166)], [np.float64(3.133937519348467), np.float64(3.8234835027982226), np.float64(3.100195567095877), np.float64(2.3135716220517746), np.float64(2.415198820682064)], [np.float64(4.874081084301933), np.float64(5.265681417211932), np.float64(4.888762742771175), np.float64(4.635182686642199), np.float64(4.2627725447117655)], [np.float64(40.91110201054367), np.float64(48.15126648975067), np.float64(41.081166644493585), np.float64(35.259230405313986), np.float64(29.274670166403702)], [np.float64(21.92739220750998), np.float64(25.819735120577622), np.float64(21.922232145193675), np.float64(19.411513378506736), np.float64(15.157256702134518)]]"
2,3,"[[np.float64(1.3563524772767763), np.float64(1.468180405860378), np.float64(1.3828273349280062), np.float64(1.3754616209077237), np.float64(1.0848974068221477)], [np.float64(3.5304736270103003), np.float64(4.168537774156381), np.float64(3.64538563232296), np.float64(2.5376951883069605), np.float64(2.8295627971625623)], [np.float64(5.359059768075961), np.float64(5.637200452996243), np.float64(5.436834058134184), np.float64(5.282868271592823), np.float64(4.806499662805789)], [np.float64(39.4945596063762), np.float64(37.56241068300187), np.float64(47.97750039646709), np.float64(35.89065324850072), np.float64(27.778257040930633)], [np.float64(23.157135824492343), np.float64(23.285743836178636), np.float64(25.973603877865777), np.float64(21.820181226536825), np.float64(18.52440538992326)]]","[[np.float64(1.2833133487840085), np.float64(1.4087612288506983), np.float64(1.2919640804687327), np.float64(1.2860255947399384), np.float64(1.0337457962719996)], [np.float64(3.139521756985831), np.float64(3.8632896509088464), np.float64(3.162024516161824), np.float64(2.368822346169225), np.float64(2.2133370449110084)], [np.float64(4.36803799679601), np.float64(4.014791802121059), np.float64(4.637565628815663), np.float64(4.822174289546951), np.float64(4.058235245228221)], [np.float64(35.884901756637326), np.float64(32.712762620584336), np.float64(43.396840139703414), np.float64(35.17073312462907), np.float64(26.075869247808694)], [np.float64(19.731898457291166), np.float64(18.461697483415325), np.float64(23.26246241207576), np.float64(19.84116490459304), np.float64(14.488964092584425)]]","[[np.float64(1.3382275841257651), np.float64(1.519312526798547), np.float64(1.3249793615242256), np.float64(1.347240992325747), np.float64(1.0049597104899803)], [np.float64(3.0790225760876386), np.float64(3.663368895901913), np.float64(3.2338385595559744), np.float64(2.2958794240985188), np.float64(2.2117983314787106)], [np.float64(4.179765819161102), np.float64(4.2009500640430035), np.float64(4.210284356885708), np.float64(4.312478875673642), np.float64(3.9851193510601695)], [np.float64(35.44933863377574), np.float64(34.24674507127894), np.float64(42.7218229326814), np.float64(32.4331999625271), np.float64(24.53847593775981)], [np.float64(19.089254002691515), np.float64(18.42514957212294), np.float64(22.253412774122598), np.float64(18.435818156001524), np.float64(14.319853085512499)]]"
3,4,"[[np.float64(1.2881424162113944), np.float64(1.273302160694998), np.float64(1.3494324124558814), np.float64(1.398832321253384), np.float64(1.124773622137616)], [np.float64(3.4414816493889755), np.float64(3.9668158260216164), np.float64(3.5309578740711784), np.float64(2.927156798992682), np.float64(2.8147454112493624)], [np.float64(5.430496176765232), np.float64(5.4918531585613355), np.float64(5.592140806364242), np.float64(5.129813809596114), np.float64(5.3384037955921855)], [np.float64(42.099425671016945), np.float64(42.86888345856161), np.float64(48.46111615779084), np.float64(40.21599032395925), np.float64(31.698406084004702)], [np.float64(25.394519910373845), np.float64(28.846162214332825), np.float64(25.795768392662556), np.float64(25.331586852553983), np.float64(18.758701695165943)]]","[[np.float64(1.2311058932846128), np.float64(1.231992909976388), np.float64(1.3126229361219508), np.float64(1.2798113264904851), np.float64(1.0650784951222774)], [np.float64(3.15820165677035), np.float64(3.82438416827392), np.float64(3.048109911825461), np.float64(2.8603065427062964), np.float64(2.374601898219096)], [np.float64(4.700673036842359), np.float64(4.955074113221642), np.float64(4.747732631109462), np.float64(4.577453711676784), np.float64(4.34151562364981)], [np.float64(38.86049839252902), np.float64(41.718850273158864), np.float64(41.98365025319407), np.float64(39.33546618248698), np.float64(28.39071219878788)], [np.float64(21.235448885725532), np.float64(24.71581521678384), np.float64(22.115620938406575), np.float64(20.250971834715187), np.float64(14.188270333642372)]]","[[np.float64(1.2722880591980459), np.float64(1.283231493919759), np.float64(1.3431878189961473), np.float64(1.2566469373098417), np.float64(1.1635763839493989)], [np.float64(2.968570390558885), np.float64(3.3769298780599444), np.float64(2.9978538745834697), np.float64(2.685498293747779), np.float64(2.468056885558213)], [np.float64(4.665910564502316), np.float64(4.787242959016142), np.float64(4.839373944117657), np.float64(4.7295531226807), np.float64(4.172777997528237)], [np.float64(39.12284561976116), np.float64(41.34366387229588), np.float64(42.73242578282845), np.float64(40.91257431770099), np.float64(27.575167664731655)], [np.float64(20.846497388033534), np.float64(23.639594605632812), np.float64(21.97527925876888), np.float64(20.63028383912983), np.float64(14.057465717860028)]]"
4,5,"[[np.float64(1.3906720784855355), np.float64(1.4173037869134573), np.float64(1.4489389744876389), np.float64(1.2952047718846984), np.float64(1.3426259631884008)], [np.float64(3.2650756896884623), np.float64(3.6073283657846993), np.float64(3.2008428377026745), np.float64(3.2902932941873066), np.float64(2.7410114850790057)], [np.float64(5.753231985943773), np.float64(5.916440295601147), np.float64(5.612534249251492), np.float64(6.106768666660967), np.float64(5.389876560844613)], [np.float64(43.3930914807408), np.float64(46.698649134967), np.float64(46.22019734920993), np.float64(41.96291057005007), np.float64(34.54406402095163)], [np.float64(25.862701812532368), np.float64(30.61059125092201), np.float64(24.10603172714645), np.float64(23.458115218063796), np.float64(21.68710704713084)]]","[[np.float64(1.3606770458455852), np.float64(1.4030997289438385), np.float64(1.422623085170704), np.float64(1.264760794921941), np.float64(1.2818017181363666)], [np.float64(2.9546487385653397), np.float64(3.346727516851494), np.float64(2.8070490999946407), np.float64(2.862478284958391), np.float64(2.5537444977140886)], [np.float64(4.675662900360639), np.float64(4.867070295068951), np.float64(5.038438237454776), np.float64(4.083368363765003), np.float64(4.300859268907951)], [np.float64(38.13236899606568), np.float64(39.26840593094416), np.float64(44.861978544659266), np.float64(31.506230324902596), np.float64(30.74627502267101)], [np.float64(20.61099012414427), np.float64(23.429473123090112), np.float64(21.341212185021188), np.float64(16.335685165016507), np.float64(17.871620434735135)]]","[[np.float64(1.3585270724004785), np.float64(1.3749340543552766), np.float64(1.4756631944941279), np.float64(1.2961200710015564), np.float64(1.2123692758038405)], [np.float64(2.896079160796867), np.float64(3.1479709331310377), np.float64(2.8155826087714204), np.float64(3.0294009557009365), np.float64(2.4635665928732915)], [np.float64(4.442048155718117), np.float64(4.941297236231739), np.float64(4.411104921453168), np.float64(4.101933220396211), np.float64(3.9057533534887985)], [np.float64(36.822325760002386), np.float64(39.71760357005292), np.float64(40.79461216529235), np.float64(30.843819326715057), np.float64(30.486317544667376)], [np.float64(19.919711752799447), np.float64(23.470631872820416), np.float64(19.882572979737994), np.float64(15.529159343502526), np.float64(16.924217857073035)]]"
5,6,"[[np.float64(1.3636886629719442), np.float64(1.3222239099590751), np.float64(1.3663567155843166), np.float64(1.459672715555867), np.float64(1.2908277695965993)], [np.float64(3.3672949570776702), np.float64(3.784757185078655), np.float64(3.4717928329204897), np.float64(2.9955598614939944), np.float64(2.855831618763515)], [np.float64(5.872704507361637), np.float64(5.773723170262661), np.float64(6.194562056374009), np.float64(6.123085436596863), np.float64(4.944630978719099)], [np.float64(46.85279556369921), np.float64(52.190855184319496), np.float64(54.07185041266062), np.float64(38.538227217920465), np.float64(28.100488643430744)], [np.float64(27.206394175369297), np.float64(32.60512697114717), np.float64(28.200074683340485), np.float64(23.237107588512384), np.float64(19.169845012960366)]]","[[np.float64(1.2813675433793366), np.float64(1.2775929799435133), np.float64(1.2990858974840702), np.float64(1.3472425192612711), np.float64(1.1550920545097736)], [np.float64(3.0490579899246923), np.float64(3.294373110974787), np.float64(3.2667391299044684), np.float64(2.6035480684931285), np.float64(2.7018693510643925)], [np.float64(4.985293368131344), np.float64(5.046967726333014), np.float64(5.420708153860863), np.float64(4.990951991487874), np.float64(3.81070365541745)], [np.float64(41.918557939105014), np.float64(48.360014736290694), np.float64(47.739592607508186), np.float64(33.39622491030213), np.float64(24.429983794210944)], [np.float64(21.914424491070573), np.float64(25.54092740917069), np.float64(23.60323451637727), np.float64(18.81830027139885), np.float64(14.50432720555549)]]","[[np.float64(1.3759195313785442), np.float64(1.3692672490273399), np.float64(1.4633558340647232), np.float64(1.3464779662829562), np.float64(1.2339824833307391)], [np.float64(3.2809506722566173), np.float64(3.0882649288818786), np.float64(3.9005500601324483), np.float64(2.834933661355182), np.float64(2.7032684678835883)], [np.float64(4.943505026158435), np.float64(5.321150643080312), np.float64(5.274887513117443), np.float64(4.540093467932535), np.float64(4.036237360390136)], [np.float64(42.6799188516993), np.float64(52.678273741148985), np.float64(46.95060711251953), np.float64(31.15553203643425), np.float64(24.833889428642152)], [np.float64(23.27348154771104), np.float64(28.207628502292593), np.float64(25.60944092200295), np.float64(17.049049451180558), np.float64(15.09986146301217)]]"
6,7,"[[np.float64(1.3892398528799987), np.float64(1.4742675360910493), np.float64(1.3863122832868493), np.float64(1.3601729696970157), np.float64(1.2826000678427538)], [np.float64(3.3650066092086615), np.float64(3.168292624114135), np.float64(4.020139823820152), np.float64(3.0984850150538334), np.float64(2.8461206452410908)], [np.float64(5.560705164019446), np.float64(6.062916280111723), np.float64(5.637887810454367), np.float64(4.621013157492379), np.float64(5.398482270447595)], [np.float64(42.011456259017656), np.float64(48.66376039262019), np.float64(44.74405151701149), np.float64(29.21193401293421), np.float64(36.24997420699541)], [np.float64(24.13014124798099), np.float64(29.096201702995632), np.float64(22.300622640934623), np.float64(17.178566866535817), np.float64(23.390820948021368)]]","[[np.float64(1.2976832447381264), np.float64(1.4161313675386682), np.float64(1.3066865300315658), np.float64(1.239458534767078), np.float64(1.1388620117221537)], [np.float64(3.039061398771594), np.float64(3.0812040452944007), np.float64(3.5656967172868765), np.float64(2.4994621644225012), np.float64(2.5766544973465857)], [np.float64(4.867834432723502), np.float64(5.067049305873478), np.float64(5.027960845557958), np.float64(4.460155815860937), np.float64(4.6694920327819105)], [np.float64(39.77959098122228), np.float64(46.16688568417761), np.float64(40.650034015786865), np.float64(29.2952766693198), np.float64(35.798012558904254)], [np.float64(20.68709426074099), np.float64(23.31328911746094), np.float64(20.425245203120646), np.float64(17.224596209412454), np.float64(19.530895070200312)]]","[[np.float64(1.3113336004942628), np.float64(1.4034541037215749), np.float64(1.322309724233038), np.float64(1.2613031182680883), np.float64(1.1898184808404892)], [np.float64(2.8054764842826843), np.float64(2.9070456155925126), np.float64(3.1115854701129573), np.float64(2.4230862832870517), np.float64(2.495679910026794)], [np.float64(4.633714787874671), np.float64(4.98388577861406), np.float64(4.755729425248523), np.float64(4.005843790979085), np.float64(4.413746182419818)], [np.float64(38.134267579361335), np.float64(44.399454119854525), np.float64(38.56465714603226), np.float64(28.436921334730997), np.float64(34.419066232319516)], [np.float64(19.968176480027697), np.float64(22.088039505746444), np.float64(20.147559674420123), np.float64(17.132377122221524), np.float64(18.574769218115573)]]"
7,8,"[[np.float64(1.3307803244024243), np.float64(1.4461047163745098), np.float64(1.3021882749344336), np.float64(1.297554456266262), np.float64(1.2421499755036647)], [np.float64(3.4164655277923863), np.float64(3.796815705699726), np.float64(3.482669744039536), np.float64(3.2433543886547684), np.float64(2.94761795953845)], [np.float64(5.384577692497271), np.float64(5.424290029276588), np.float64(5.277755890818), np.float64(6.016372197545241), np.float64(4.924876973715878)], [np.float64(39.52995886835263), np.float64(45.95762323455104), np.float64(38.38678755777563), np.float64(38.62424952867753), np.float64(32.56986824215489)], [np.float64(22.673564081519327), np.float64(26.274768464890247), np.float64(22.163784718143635), np.float64(22.290070021683245), np.float64(18.489754464874334)]]","[[np.float64(1.2724683088175486), np.float64(1.4567046735307314), np.float64(1.186893003740664), np.float64(1.1257597540842657), np.float64(1.2413834461821476)], [np.float64(3.1820446739541057), np.float64(3.611233202881882), np.float64(3.3138637366520665), np.float64(2.711560871039485), np.float64(2.7761512385461904)], [np.float64(4.460926201722262), np.float64(4.656106867137849), np.float64(4.382657751688722), np.float64(5.091065848921278), np.float64(3.7284412526846142)], [np.float64(37.46489745139829), np.float64(41.130314220517974), np.float64(39.38720642595181), np.float64(36.77058788542003), np.float64(30.23791877643417)], [np.float64(18.58186042573807), np.float64(21.824418253887977), np.float64(18.185438499062727), np.float64(17.74127401779101), np.float64(15.103946497463644)]]","[[np.float64(1.264293044664422), np.float64(1.354703481798372), np.float64(1.1957343826701894), np.float64(1.1560466191172512), np.float64(1.3120863878387143)], [np.float64(3.1355633122795235), np.float64(3.5850877084469377), np.float64(3.0162591247299866), np.float64(2.997032999529716), np.float64(2.7801984372678987)], [np.float64(4.41518908727762), np.float64(4.832392929221172), np.float64(4.159379471965479), np.float64(4.912894148731812), np.float64(3.7258927163713946)], [np.float64(36.391008014398864), np.float64(40.962580650292054), np.float64(37.86022386247082), np.float64(36.20867083033657), np.float64(27.802249676176512)], [np.float64(18.522390806207497), np.float64(22.081262439671164), np.float64(17.753206519143074), np.float64(18.425593679868282), np.float64(14.313164956686657)]]"
8,9,"[[np.float64(1.3775478770705198), np.float64(1.5108426823651835), np.float64(1.352771107518173), np.float64(1.3012243077550738), np.float64(1.2142441492925502)], [np.float64(3.3023389387037643), np.float64(3.555309389444052), np.float64(3.2825680402503226), np.float64(3.0374114071402785), np.float64(3.081780759623946)], [np.float64(5.627117471261233), np.float64(5.938450777974536), np.float64(5.4161774494254304), np.float64(6.220056141795304), np.float64(4.609697115518961)], [np.float64(42.512665966197304), np.float64(50.92274305032608), np.float64(39.82782440202544), np.float64(40.06077091213404), np.float64(29.25049147699126)], [np.float64(24.76923863492781), np.float64(28.95136281914024), np.float64(23.420819037260188), np.float64(22.777488833914546), np.float64(19.544419276101046)]]","[[np.float64(1.3354530737134485), np.float64(1.4266503630673524), np.float64(1.385203135848421), np.float64(1.2136761887606224), np.float64(1.1837137726823186)], [np.float64(3.057668366841729), np.float64(3.294110855707712), np.float64(3.0315206553693583), np.float64(2.7007770109466542), np.float64(2.9699914760013644)], [np.float64(4.766389657288771), np.float64(4.802778881687871), np.float64(5.06937811047158), np.float64(4.913348052464003), np.float64(3.9795535789600778)], [np.float64(39.598543591398375), np.float64(46.9186314407834), np.float64(39.24424078028527), np.float64(34.54407637306443), np.float64(27.898205866795063)], [np.float64(20.657489495677254), np.float64(24.218795751500306), np.float64(19.853238832818782), np.float64(18.298325743004728), np.float64(16.291950886888866)]]","[[np.float64(1.5773400978477499), np.float64(1.46669237229267), np.float64(1.422591323691376), np.float64(1.2727403932980015), np.float64(2.183252104506919)], [np.float64(2.9822473375934324), np.float64(2.959151732370173), np.float64(2.9280822311364827), np.float64(2.6477191543198866), np.float64(3.4058000513986535)], [np.float64(4.66682940989925), np.float64(4.355344875806334), np.float64(4.833089250991529), np.float64(4.794275828006129), np.float64(4.840552960107753)], [np.float64(41.40571231416299), np.float64(45.40780816049743), np.float64(38.33830998165501), np.float64(33.441700667195335), np.float64(45.246630959544355)], [np.float64(20.726637860996117), np.float64(22.527616623271186), np.float64(19.647488188544248), np.float64(16.750895850960056), np.float64(22.40477907290135)]]"
9,10,"[[np.float64(1.310140850381697), np.float64(1.2833603636235318), np.float64(1.3414030302440152), np.float64(1.2155467954514927), np.float64(1.3945438120800047)], [np.float64(3.5734087844436386), np.float64(3.5539036925820606), np.float64(4.114740011530301), np.float64(2.964912967231349), np.float64(3.2733709797861383)], [np.float64(5.843200947412498), np.float64(6.572406404057669), np.float64(5.822198251120398), np.float64(5.752216182963782), np.float64(4.519617174596787)], [np.float64(45.67402776715393), np.float64(54.18713389508972), np.float64(44.62686538971745), np.float64(43.58390370292771), np.float64(31.488894884228287)], [np.float64(25.60721535328914), np.float64(29.109667318991843), np.float64(25.369068099379206), np.float64(25.764005223047732), np.float64(18.594385374933676)]]","[[np.float64(1.245204162840363), np.float64(1.188393130327406), np.float64(1.326705361017107), np.float64(1.1464758202499548), np.float64(1.3044776643284586)], [np.float64(3.301812957435292), np.float64(3.5011693866903775), np.float64(3.7992359974518433), np.float64(2.5234955848981935), np.float64(2.7998794014574857)], [np.float64(4.6259506848700465), np.float64(5.022664372213316), np.float64(4.842864057429778), np.float64(4.644429460821879), np.float64(3.430272488931709)], [np.float64(39.150775666362705), np.float64(44.021722759784005), np.float64(40.82765627806038), np.float64(38.327620025538934), np.float64(26.807157820784568)], [np.float64(20.125677641804618), np.float64(21.748080165708412), np.float64(21.96478977923206), np.float64(18.254472024609594), np.float64(15.711894365573874)]]","[[np.float64(1.5458762686646497), np.float64(1.9391305993359453), np.float64(1.3878111242359217), np.float64(1.1973196989677852), np.float64(1.3183152289206421)], [np.float64(3.340992335841931), np.float64(3.758923254834761), np.float64(3.650461952335921), np.float64(2.4435963285134834), np.float64(2.846470631160806)], [np.float64(4.862774556090837), np.float64(5.6192239317270545), np.float64(4.637598814386858), np.float64(5.013536041611014), np.float64(3.482120022970427)], [np.float64(41.79262338671045), np.float64(51.482131540796246), np.float64(39.89082815256045), np.float64(38.594132898022536), np.float64(26.887983982577616)], [np.float64(21.758548794156933), np.float64(25.743419577875812), np.float64(22.75925162850223), np.float64(18.553186256089027), np.float64(14.776404018201095)]]"
