,seed,regression,xgboost,cnn
0,1,"[[np.float64(1.2685493588087295), np.float64(1.3475343045450434), np.float64(1.1941522395277824), np.float64(1.3206272737569267), np.float64(1.1660812197558417)], [np.float64(2.99080347189996), np.float64(3.219342800861407), np.float64(3.0167883482975064), np.float64(3.103715858768706), np.float64(2.3045459127114643)], [np.float64(5.017538053970092), np.float64(5.106313127932065), np.float64(4.711720612701356), np.float64(5.696845070510711), np.float64(4.421328253897904)], [np.float64(36.96620007302785), np.float64(40.63659765422541), np.float64(36.65965070678393), np.float64(38.80906215358743), np.float64(26.819746648115352)], [np.float64(22.719813240070543), np.float64(25.954262110741954), np.float64(22.203024238272416), np.float64(20.793954337804372), np.float64(19.13307461138122)]]","[[np.float64(1.1501692066046263), np.float64(1.2352730581009077), np.float64(1.1450288388525574), np.float64(1.0682451172305962), np.float64(1.0901538773076416)], [np.float64(2.619464594600425), np.float64(2.9886326008336312), np.float64(2.6256380397949033), np.float64(2.450979394648701), np.float64(2.016916752317319)], [np.float64(4.2218074114457815), np.float64(4.323031870423359), np.float64(3.8589873390291496), np.float64(5.031798087138066), np.float64(3.4543335114010687)], [np.float64(33.57089260102535), np.float64(36.60276906638573), np.float64(33.362144565766044), np.float64(36.903719762791354), np.float64(22.00585511779029)], [np.float64(18.18804728115602), np.float64(20.148963452153666), np.float64(16.1323633875759), np.float64(20.62328908858512), np.float64(13.863858362502699)]]","[[np.float64(1.183739366916696), np.float64(1.2837021474595034), np.float64(1.1805215392631183), np.float64(1.098340239716812), np.float64(1.0939234722546063)], [np.float64(2.6763707998056034), np.float64(3.047937634487518), np.float64(2.71883912211278), np.float64(2.5036958762631376), np.float64(2.001959770628998)], [np.float64(4.1079748211373195), np.float64(4.19676615454691), np.float64(3.9447968156316042), np.float64(4.68193640774189), np.float64(3.406134212528101)], [np.float64(34.80332185831644), np.float64(37.77800722191941), np.float64(34.34291134095092), np.float64(38.17100904234683), np.float64(24.03606963835007)], [np.float64(18.610271202208136), np.float64(21.180390936479014), np.float64(17.220199160111825), np.float64(19.47597311404662), np.float64(14.116054598145228)]]"
1,2,"[[np.float64(1.2838565141980314), np.float64(1.3036159723906058), np.float64(1.212916537953366), np.float64(1.3684596744641027), np.float64(1.280964759847942)], [np.float64(3.1585931294475036), np.float64(3.3101348761470217), np.float64(3.316442471054329), np.float64(3.0457638017251614), np.float64(2.699168614591177)], [np.float64(4.9144577890277965), np.float64(5.3805488958244325), np.float64(4.321728150617594), np.float64(5.438445798078638), np.float64(4.435553788515469)], [np.float64(36.87947964323524), np.float64(44.96429344518097), np.float64(31.67596516771147), np.float64(35.375028733340706), np.float64(29.49706381870063)], [np.float64(22.853634717797732), np.float64(28.03565886400222), np.float64(19.650289333272035), np.float64(21.09277129682695), np.float64(18.641525133289583)]]","[[np.float64(1.2281428690026008), np.float64(1.163162812582775), np.float64(1.3051812039790565), np.float64(1.1785835494904726), np.float64(1.2552206011796023)], [np.float64(2.8667377408819235), np.float64(2.9086975132375725), np.float64(3.1118530810345413), np.float64(2.708913998579665), np.float64(2.5033732627455727)], [np.float64(3.949664669779013), np.float64(4.301898016073592), np.float64(3.6208816960887606), np.float64(4.064536706005879), np.float64(3.697020021475846)], [np.float64(32.19754987120787), np.float64(38.75721176977187), np.float64(29.889436254664368), np.float64(29.326932105619832), np.float64(24.71447368316478)], [np.float64(17.340085724829656), np.float64(20.965829578495416), np.float64(15.799399754831072), np.float64(14.860944022560798), np.float64(14.509379201156223)]]","[[np.float64(1.347272331741184), np.float64(1.4117896165008035), np.float64(1.222577133208154), np.float64(1.3843435633943457), np.float64(1.3862379245509557)], [np.float64(2.8284833418795263), np.float64(2.9845761017235626), np.float64(2.8543424013892977), np.float64(2.7962784635006854), np.float64(2.5210582458570774)], [np.float64(3.9512613606824845), np.float64(4.401770182040253), np.float64(3.614086257610853), np.float64(3.777499493828922), np.float64(3.7795337812918093)], [np.float64(32.68443839471442), np.float64(39.8834542935939), np.float64(29.687287211894276), np.float64(27.38521617605392), np.float64(27.14751802985172)], [np.float64(17.593103876015228), np.float64(21.197984791923783), np.float64(16.354331701325425), np.float64(13.89989492680123), np.float64(15.35087463916086)]]"
2,3,"[[np.float64(1.1493825374705735), np.float64(1.2527558134309407), np.float64(1.0995523497406792), np.float64(1.1682175762806433), np.float64(1.06172918524272)], [np.float64(3.0417938621233818), np.float64(3.1663780511210273), np.float64(3.4100317059197782), np.float64(2.278608804748546), np.float64(2.7583566717190746)], [np.float64(4.930005767116377), np.float64(5.027019242168259), np.float64(4.769501291028381), np.float64(5.511569829979781), np.float64(4.596888837150731)], [np.float64(36.24471589468876), np.float64(39.833547004074006), np.float64(34.617322417944216), np.float64(44.79642468699626), np.float64(25.484635381379682)], [np.float64(22.23703236933224), np.float64(24.134565344936536), np.float64(20.55097580577719), np.float64(27.094014552401283), np.float64(17.872564276800144)]]","[[np.float64(1.0939822756999613), np.float64(1.1695111559532114), np.float64(1.1011923684490406), np.float64(1.0756375753054346), np.float64(0.988867945365653)], [np.float64(2.798255860523556), np.float64(2.9621806237645742), np.float64(3.2147141766270297), np.float64(1.9831749462035202), np.float64(2.380748713557578)], [np.float64(4.045153463111972), np.float64(4.187622409538359), np.float64(4.072335142214021), np.float64(4.339116705176558), np.float64(3.5824710376875295)], [np.float64(31.414398701783437), np.float64(35.091126804394314), np.float64(31.215080297155986), np.float64(36.65035932537604), np.float64(21.028599941621582)], [np.float64(16.68191545922529), np.float64(18.42471929532682), np.float64(16.35441161395176), np.float64(19.76006002037093), np.float64(11.719194233184293)]]","[[np.float64(1.169374710684746), np.float64(1.232783749128911), np.float64(1.1937525968260219), np.float64(1.1681042466797988), np.float64(1.0430364808072916)], [np.float64(2.7569277413567335), np.float64(2.7005376721437133), np.float64(3.2999473843117837), np.float64(2.1919664127025777), np.float64(2.280325658246862)], [np.float64(3.9330332191213264), np.float64(4.010425776039179), np.float64(4.039817353350017), np.float64(4.409861340058103), np.float64(3.2762772400800366)], [np.float64(32.26076251497486), np.float64(34.867918151149155), np.float64(31.79543405812633), np.float64(40.263905958448795), np.float64(21.4237729948886)], [np.float64(17.019878578848324), np.float64(17.860146653065662), np.float64(17.58479810603899), np.float64(20.385104256772074), np.float64(11.728606255291394)]]"
3,4,"[[np.float64(1.1445629148161485), np.float64(1.2388070431663405), np.float64(1.1335004272330869), np.float64(1.026350078985995), np.float64(1.0924991676092008)], [np.float64(2.8572690328564723), np.float64(3.1522948634669543), np.float64(3.014626884609933), np.float64(2.4619542869988265), np.float64(2.391520448514985)], [np.float64(5.009145087321746), np.float64(4.718837782463438), np.float64(5.569484485819964), np.float64(4.585355790670309), np.float64(4.908588062011353)], [np.float64(36.77501586860622), np.float64(36.50784358378701), np.float64(44.66176545790598), np.float64(32.375474559426024), np.float64(26.53763460897372)], [np.float64(21.95975633206337), np.float64(22.616814740958155), np.float64(23.181714031510644), np.float64(20.30826735563865), np.float64(20.2928846980694)]]","[[np.float64(1.100299961303942), np.float64(1.1587969137476823), np.float64(1.1403781861803715), np.float64(0.9752288298828001), np.float64(1.03719568007528)], [np.float64(2.6359194816507547), np.float64(2.796733476673719), np.float64(2.846608472618196), np.float64(2.3708095993476586), np.float64(2.230359561627108)], [np.float64(4.089373822832562), np.float64(3.7751687964055587), np.float64(4.499772675328777), np.float64(4.263688315122934), np.float64(3.80097692424666)], [np.float64(33.74468546350403), np.float64(32.89175311173104), np.float64(40.63422228776679), np.float64(33.01265854160387), np.float64(23.234120945732315)], [np.float64(18.727679279529454), np.float64(18.62395598095256), np.float64(22.093502633033175), np.float64(17.09759530322318), np.float64(14.37347640122484)]]","[[np.float64(1.4098660642058556), np.float64(1.9019429661499905), np.float64(1.1770178703862693), np.float64(1.0223349804408761), np.float64(1.0233828468783102)], [np.float64(3.0717756204386375), np.float64(4.020395004858844), np.float64(2.7636634772237967), np.float64(2.2846607207760417), np.float64(2.1966774354836813)], [np.float64(4.206601762410167), np.float64(4.589279852976125), np.float64(4.322040567575669), np.float64(3.870033968488007), np.float64(3.631507942426572)], [np.float64(38.42561839940285), np.float64(47.03854300667411), np.float64(41.08615799519626), np.float64(29.17213893990145), np.float64(22.78733948712497)], [np.float64(20.25721206710973), np.float64(23.82822116216382), np.float64(21.555134140597403), np.float64(15.843897404809443), np.float64(14.559633623419304)]]"
4,5,"[[np.float64(1.2939707465414279), np.float64(1.3238033577830057), np.float64(1.38924644949306), np.float64(1.312085646174536), np.float64(1.0888392835570484)], [np.float64(3.2134500638866847), np.float64(3.756346636354181), np.float64(3.0890890071870722), np.float64(3.295779730963705), np.float64(2.454869761991597)], [np.float64(4.934871176870249), np.float64(4.410320081719694), np.float64(5.336330255195602), np.float64(5.333785355043575), np.float64(4.708058735251974)], [np.float64(34.33694651142164), np.float64(35.34639394903838), np.float64(36.707266681581146), np.float64(37.79779914408977), np.float64(25.94598617825777)], [np.float64(21.872760876885035), np.float64(21.316236636529606), np.float64(22.9710968763892), np.float64(26.549843764812632), np.float64(16.663348493945602)]]","[[np.float64(1.1726906413044447), np.float64(1.2117283788233129), np.float64(1.2415597561931835), np.float64(1.1055717892244115), np.float64(1.0654092337166494)], [np.float64(2.9316065426939812), np.float64(3.602237011584233), np.float64(2.8082674281186653), np.float64(2.5526212282232317), np.float64(2.3028985230463386)], [np.float64(4.128432175285488), np.float64(4.33984620299361), np.float64(3.900151789957701), np.float64(4.521907091620762), np.float64(3.837790863166777)], [np.float64(30.93756821021229), np.float64(33.62636548754412), np.float64(30.606185269988018), np.float64(36.167801073370185), np.float64(22.384913808856286)], [np.float64(16.774366316425155), np.float64(18.30677092067691), np.float64(17.13935318152702), np.float64(18.221163472739786), np.float64(12.516916441192564)]]","[[np.float64(1.217884886840759), np.float64(1.2096511614145025), np.float64(1.3682866574410573), np.float64(1.1541989039630678), np.float64(1.0414568743792385)], [np.float64(2.7925399820604877), np.float64(3.367786638207241), np.float64(2.770973993475147), np.float64(2.465456644712176), np.float64(2.1313778131531915)], [np.float64(3.972357692898368), np.float64(4.027290288033541), np.float64(3.6359614186987708), np.float64(4.674801282191213), np.float64(3.7817976187029663)], [np.float64(30.55179629473793), np.float64(33.425423134348954), np.float64(30.803667256043504), np.float64(34.792866908930826), np.float64(21.639549047053357)], [np.float64(16.38814530582251), np.float64(17.624198592193697), np.float64(16.32727364163179), np.float64(18.862088841340555), np.float64(12.347810678395096)]]"
5,6,"[[np.float64(1.2318542749160533), np.float64(1.2261462300097028), np.float64(1.271215623938065), np.float64(1.2135410168134055), np.float64(1.200478857503991)], [np.float64(3.0175121731159433), np.float64(3.2971565849588798), np.float64(3.201696291394256), np.float64(2.335286157433367), np.float64(2.806829569070682)], [np.float64(4.856694866225178), np.float64(5.133641974576516), np.float64(4.645348808292121), np.float64(5.080735241964532), np.float64(4.508955581039716)], [np.float64(35.93988795774452), np.float64(41.262933601718686), np.float64(35.03878475423867), np.float64(34.778776406492845), np.float64(28.759663726171503)], [np.float64(21.82376728114449), np.float64(26.912885205877362), np.float64(19.22319468342232), np.float64(20.931745474193466), np.float64(16.712793434416547)]]","[[np.float64(1.131667332162752), np.float64(1.0863738345506753), np.float64(1.1984425089427122), np.float64(1.1364837665041092), np.float64(1.1005399541396594)], [np.float64(2.713284117553849), np.float64(2.9927125193868838), np.float64(2.820827499210678), np.float64(2.123867168353439), np.float64(2.5468108506463993)], [np.float64(4.128484338125041), np.float64(4.672742408800878), np.float64(3.8660848757106243), np.float64(3.8678227606885565), np.float64(3.793937735068538)], [np.float64(32.514447119203965), np.float64(39.123183495853006), np.float64(30.483723822980302), np.float64(30.35657423794209), np.float64(25.089990740316168)], [np.float64(17.093918121589738), np.float64(21.901506528809666), np.float64(15.06564690818525), np.float64(13.968124440887319), np.float64(13.349647233654645)]]","[[np.float64(1.357793549562127), np.float64(1.182522744075022), np.float64(1.6695220403317212), np.float64(1.2515667650158773), np.float64(1.2068321554851253)], [np.float64(3.186589854086843), np.float64(2.853909345289716), np.float64(4.350497052380635), np.float64(2.239371155884672), np.float64(2.3341565714223407)], [np.float64(4.086077879544308), np.float64(4.584148905022637), np.float64(3.8229831700768675), np.float64(4.10878658030499), np.float64(3.587884057208013)], [np.float64(33.72420850553827), np.float64(39.731359684802904), np.float64(32.80161235585493), np.float64(31.107594870372353), np.float64(26.36889575524746)], [np.float64(17.952130186676516), np.float64(21.680205168106443), np.float64(18.109548782437443), np.float64(14.817173030598727), np.float64(13.273900296065761)]]"
6,7,"[[np.float64(1.1756498305848588), np.float64(1.2259459865101656), np.float64(1.1784863073803022), np.float64(1.2158717991003818), np.float64(1.0431659105235236)], [np.float64(3.010084442621127), np.float64(2.818529403456932), np.float64(3.6027584211241024), np.float64(2.7170065675626462), np.float64(2.55779886261286)], [np.float64(4.917785805614987), np.float64(4.4739514367608075), np.float64(5.311372499165676), np.float64(5.1552081975302535), np.float64(4.616659595446683)], [np.float64(35.47122086826879), np.float64(39.834062723555164), np.float64(37.463384691772866), np.float64(35.20371212791173), np.float64(24.091360398914254)], [np.float64(22.737136656738045), np.float64(23.87499485196173), np.float64(24.859064359269937), np.float64(22.46935188344388), np.float64(17.27512944084473)]]","[[np.float64(1.1154479490867752), np.float64(1.188843947348704), np.float64(1.0917634261947258), np.float64(1.1601594611952897), np.float64(0.9822331686870861)], [np.float64(2.7157546539459685), np.float64(2.627712219998335), np.float64(3.1326663997761437), np.float64(2.530727274526461), np.float64(2.324016290408911)], [np.float64(4.2582822509696285), np.float64(4.128635259112874), np.float64(4.5221368184397965), np.float64(4.390945431024163), np.float64(3.8524996806031333)], [np.float64(34.233479155667396), np.float64(40.10490373194789), np.float64(35.02291548902539), np.float64(33.21351852336136), np.float64(23.10566159819451)], [np.float64(18.5712503012272), np.float64(21.56237830211957), np.float64(19.1411442791033), np.float64(17.03594688807558), np.float64(14.139192854338058)]]","[[np.float64(1.173523965527696), np.float64(1.2581828832920714), np.float64(1.116675169793835), np.float64(1.1596425525686853), np.float64(1.1472907566653818)], [np.float64(2.707142427989904), np.float64(2.581504500879926), np.float64(3.032991252958799), np.float64(2.711816420886634), np.float64(2.319959947254623)], [np.float64(4.134046104850209), np.float64(4.003150654053558), np.float64(4.4474127115098465), np.float64(4.136964588512608), np.float64(3.803259202759757)], [np.float64(34.39556771305191), np.float64(41.725503612467406), np.float64(35.64321992912572), np.float64(29.363529091310717), np.float64(24.57653379203089)], [np.float64(17.887452146571807), np.float64(20.957764070621458), np.float64(19.268265450053832), np.float64(15.177038634871248), np.float64(13.029398789459139)]]"
7,8,"[[np.float64(1.1923673604981888), np.float64(1.0567698615405272), np.float64(1.2900304514430028), np.float64(1.2475807084840072), np.float64(1.1714176079249152)], [np.float64(2.7755033038285313), np.float64(2.8031627213302714), np.float64(2.9018825441929272), np.float64(2.623202572944192), np.float64(2.6975307567907447)], [np.float64(4.849194068576506), np.float64(4.989800809952343), np.float64(5.002909687411221), np.float64(4.986410521690085), np.float64(4.264285955447659)], [np.float64(39.242878549869545), np.float64(41.640412743489854), np.float64(43.11509694000368), np.float64(41.603283333770314), np.float64(25.33129399359444)], [np.float64(23.119315990482587), np.float64(25.86967244890203), np.float64(23.526575117674795), np.float64(24.120123828471364), np.float64(16.632448588640333)]]","[[np.float64(1.1613950424113006), np.float64(1.0238824745531963), np.float64(1.2812434290871493), np.float64(1.2348197823185605), np.float64(1.0876042622132598)], [np.float64(2.6019793008394725), np.float64(2.6880220918851423), np.float64(2.9299195715094704), np.float64(2.183757645376233), np.float64(2.3509823122267757)], [np.float64(4.074341555964577), np.float64(4.382879251986958), np.float64(4.2555974067155695), np.float64(3.949252839304909), np.float64(3.442947432049956)], [np.float64(33.74820903080907), np.float64(38.820665762587794), np.float64(36.593948391552395), np.float64(31.58217651371809), np.float64(22.074311140299983)], [np.float64(17.36169381786576), np.float64(21.53762084164745), np.float64(17.37089846643914), np.float64(14.839324809858738), np.float64(12.465156507367817)]]","[[np.float64(1.2634616713931806), np.float64(1.2070215033440517), np.float64(1.431272822283514), np.float64(1.2284903726874634), np.float64(1.112766551944369)], [np.float64(2.608504568848096), np.float64(2.6053287233376987), np.float64(3.054672938625489), np.float64(2.303269567129845), np.float64(2.1743788879770527)], [np.float64(3.941857703836931), np.float64(3.9301638740163956), np.float64(4.332081108173534), np.float64(4.059429954218717), np.float64(3.1985544628248124)], [np.float64(34.31247831883337), np.float64(37.47705614148279), np.float64(36.89570012546638), np.float64(35.45977949397715), np.float64(23.003940902828965)], [np.float64(17.053429489188144), np.float64(19.790208922781996), np.float64(18.39265679585945), np.float64(15.13655076104271), np.float64(12.030765017252289)]]"
8,9,"[[np.float64(1.2197705369309555), np.float64(1.2501499372764502), np.float64(1.266407603176294), np.float64(1.202929233669768), np.float64(1.1234662690897652)], [np.float64(3.0582147370817836), np.float64(3.115172639355498), np.float64(3.63555966819299), np.float64(2.423820538702811), np.float64(2.7132732843541003)], [np.float64(4.99564707199372), np.float64(4.594130936577431), np.float64(5.416717560065373), np.float64(4.868383343783928), np.float64(5.086601166620153)], [np.float64(38.97554549908996), np.float64(39.636544945513016), np.float64(43.1473917703778), np.float64(36.60161931011785), np.float64(34.15840838081833)], [np.float64(24.13013511838231), np.float64(26.86356548204366), np.float64(25.87992330346009), np.float64(20.991302980458638), np.float64(20.397146668831265)]]","[[np.float64(1.201168322583061), np.float64(1.2471318632768784), np.float64(1.2981965871544376), np.float64(1.071139585812306), np.float64(1.1281796645895183)], [np.float64(2.9196916739215837), np.float64(3.104054597605225), np.float64(3.5509282605582775), np.float64(2.17552983855439), np.float64(2.3391120075393967)], [np.float64(4.251882272646192), np.float64(4.2162425339629), np.float64(4.34953347748292), np.float64(4.316551498064051), np.float64(4.089093192654976)], [np.float64(37.100827280525394), np.float64(40.103864325614914), np.float64(41.36807452042795), np.float64(33.483764655460135), np.float64(29.287036469853177)], [np.float64(20.24062740398586), np.float64(22.360529865204736), np.float64(22.718922065043873), np.float64(17.888320624266356), np.float64(15.169075460011593)]]","[[np.float64(1.1782334364305598), np.float64(1.2170644356565787), np.float64(1.28044746083905), np.float64(1.010520071331573), np.float64(1.1468421645458224)], [np.float64(2.8543144038597275), np.float64(3.0768878337297405), np.float64(3.349560008845772), np.float64(2.259172227158472), np.float64(2.3146414094616454)], [np.float64(4.106965478610803), np.float64(3.937074896548645), np.float64(4.257236563344245), np.float64(4.384715415045174), np.float64(3.8009388195369875)], [np.float64(37.28838190573193), np.float64(40.141934222934225), np.float64(41.084914984429616), np.float64(35.58654857810124), np.float64(28.135617019964666)], [np.float64(18.88540736352515), np.float64(20.12824109651318), np.float64(21.07746275250165), np.float64(17.749682659260888), np.float64(14.502324674427472)]]"
9,10,"[[np.float64(1.2605154712842754), np.float64(1.360373195960816), np.float64(1.2916333507350666), np.float64(1.2595578703149983), np.float64(1.0680459484187186)], [np.float64(3.0447359888132217), np.float64(3.471163453191442), np.float64(3.2860586346774006), np.float64(2.7355048722522874), np.float64(2.2982663356135546)], [np.float64(5.0179624446599895), np.float64(4.952043331988314), np.float64(4.824786829459688), np.float64(5.679779296437889), np.float64(4.668397686927925)], [np.float64(35.688168080021875), np.float64(38.367267667496684), np.float64(33.85717875246718), np.float64(38.55955669310435), np.float64(31.32199802264212)], [np.float64(21.575602846655315), np.float64(25.56580186295111), np.float64(19.452048219904494), np.float64(22.418703366621326), np.float64(17.36818721995645)]]","[[np.float64(1.2157275482965926), np.float64(1.282261893799781), np.float64(1.225446250903345), np.float64(1.2623575964083251), np.float64(1.0567512830609693)], [np.float64(2.788986161377977), np.float64(3.0789852881682642), np.float64(2.927553171029362), np.float64(2.7695693880489283), np.float64(2.139875696840722)], [np.float64(4.133577627644456), np.float64(3.9495182327709366), np.float64(3.8956233040765107), np.float64(5.009973186626208), np.float64(3.7283364159452272)], [np.float64(31.578742646024338), np.float64(31.40993828837335), np.float64(30.72305475122757), np.float64(35.170278308876156), np.float64(29.194549028534425)], [np.float64(17.42329206746147), np.float64(18.95838425253032), np.float64(16.36725450314101), np.float64(18.545744160766148), np.float64(15.489738812971206)]]","[[np.float64(1.3014713156571645), np.float64(1.1763541351993192), np.float64(1.6240569373998999), np.float64(1.183898720360314), np.float64(1.0491894968142625)], [np.float64(3.199801338849593), np.float64(2.9663381546733656), np.float64(4.179726289171714), np.float64(2.7947710325929576), np.float64(2.1566468088889366)], [np.float64(4.138419577426453), np.float64(4.000372792699101), np.float64(3.927802696917245), np.float64(4.968948984607427), np.float64(3.6891247276974424)], [np.float64(33.024159565549645), np.float64(32.45432401411056), np.float64(32.858088342788065), np.float64(37.240558781404694), np.float64(29.47238348656754)], [np.float64(17.84305205842307), np.float64(18.537321347622434), np.float64(18.711955430755573), np.float64(18.532158006397236), np.float64(14.765537401229574)]]"
